"assignment_name","assignment_url","starter_code_url","github_username","roster_identifier","student_repository_name","student_repository_url","submission_timestamp","points_awarded","points_available"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","marif5520","marif27","prepareandtest-marif5520","https://github.com/ShaimaaAliECE/prepareandtest-marif5520","2023-01-18 20:30:34 UTC","0","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","msuthe43","msuthe43","prepareandtest-msuthe43","https://github.com/ShaimaaAliECE/prepareandtest-msuthe43","2023-01-18 20:53:07 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","jminevic","jminevic","prepareandtest-jminevic","https://github.com/ShaimaaAliECE/prepareandtest-jminevic","2023-01-18 18:46:49 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","JoshuaGivans-uwo","jgivans","prepareandtest-JoshuaGivans-uwo","https://github.com/ShaimaaAliECE/prepareandtest-JoshuaGivans-uwo","2023-01-18 23:34:05 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","spate738","spate738","prepareandtest-spate738","https://github.com/ShaimaaAliECE/prepareandtest-spate738","2023-01-19 00:24:16 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","ovanvoor","ovanvoor","prepareandtest-ovanvoor","https://github.com/ShaimaaAliECE/prepareandtest-ovanvoor","2023-01-18 21:36:05 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","fatemeh220","Fatemeh_TA","prepareandtest-fatemeh220","https://github.com/ShaimaaAliECE/prepareandtest-fatemeh220","2023-01-18 20:11:13 UTC","0","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","neilkirchberger","nkirchb","prepareandtest-neilkirchberger","https://github.com/ShaimaaAliECE/prepareandtest-neilkirchberger","2023-01-18 22:40:57 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","amitc32","amitc32","prepareandtest-amitc32","https://github.com/ShaimaaAliECE/prepareandtest-amitc32","2023-01-18 23:41:57 UTC","0","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","ax-ribeiro","aribeir4","prepareandtest-ax-ribeiro","https://github.com/ShaimaaAliECE/prepareandtest-ax-ribeiro","2023-01-19 01:27:47 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","BingChi11ing","bguo48","prepareandtest-BingChi11ing","https://github.com/ShaimaaAliECE/prepareandtest-BingChi11ing","2023-01-19 16:08:32 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","apanesa8","apanesa8","prepareandtest-apanesa8","https://github.com/ShaimaaAliECE/prepareandtest-apanesa8","2023-01-19 18:01:44 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","MHebbert","mhebbert","prepareandtest-MHebbert","https://github.com/ShaimaaAliECE/prepareandtest-MHebbert","2023-01-19 19:36:04 UTC","0","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","devpateluwo","dpate487","prepareandtest-devpateluwo","https://github.com/ShaimaaAliECE/prepareandtest-devpateluwo","2023-01-19 22:44:51 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","Shayla18Diep","sdiep","prepareandtest-Shayla18Diep","https://github.com/ShaimaaAliECE/prepareandtest-Shayla18Diep","2023-01-20 04:36:12 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","JohnKaniukSchool","jkaniuk","prepareandtest-JohnKaniukSchool","https://github.com/ShaimaaAliECE/prepareandtest-JohnKaniukSchool","2023-01-20 20:00:11 UTC","0","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","Ecook46","ecook46","prepareandtest-Ecook46","https://github.com/ShaimaaAliECE/prepareandtest-Ecook46","2023-01-20 15:58:10 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","edco2","eco2","prepareandtest-edco2","https://github.com/ShaimaaAliECE/prepareandtest-edco2","2023-01-20 04:24:08 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","malakalhanafi02","malhanaf","prepareandtest-malakalhanafi02","https://github.com/ShaimaaAliECE/prepareandtest-malakalhanafi02","2023-01-20 06:10:03 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","dndabiha","dndabiha","prepareandtest-dndabiha","https://github.com/ShaimaaAliECE/prepareandtest-dndabiha","2023-01-20 18:11:19 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","sohrabiann","asohrab6","prepareandtest-sohrabiann","https://github.com/ShaimaaAliECE/prepareandtest-sohrabiann","2023-01-20 19:24:07 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","hkorbleUWO","hkorble","prepareandtest-hkorbleUWO","https://github.com/ShaimaaAliECE/prepareandtest-hkorbleUWO","2023-01-20 19:46:27 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","obhatt3","obhatt3","prepareandtest-obhatt3","https://github.com/ShaimaaAliECE/prepareandtest-obhatt3","2023-01-21 00:20:33 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","MuhammadMunir123","mmunir22","prepareandtest-MuhammadMunir123","https://github.com/ShaimaaAliECE/prepareandtest-MuhammadMunir123","2023-01-21 04:38:22 UTC","0","10"
